Timestamp;Protocole;IP Source;Port Source;IP Destination;Port Destination;Flags;Seq;Ack;Window;Length
15:34:04.766656;IP;BP-Linux8;22;192.168.190.130;50019;P.;2243505564;1972915080;312;108
15:34:04.766694;IP;BP-Linux8;22;192.168.190.130;50019;P.;108;1;312;36
15:34:04.766723;IP;BP-Linux8;22;192.168.190.130;50019;P.;144;1;312;108
15:34:04.766744;IP;BP-Linux8;22;192.168.190.130;50019;P.;252;1;312;36
15:34:04.785366;IP;192.168.190.130;50019;BP-Linux8;22;.;N/A;108;7319;0
15:34:04.785384;IP;192.168.190.130;50019;BP-Linux8;22;.;N/A;144;7318;0
15:34:04.785406;IP;192.168.190.130;50019;BP-Linux8;22;.;N/A;252;7316;0
15:34:04.785454;IP;192.168.190.130;50019;BP-Linux8;22;.;N/A;288;7320;0
15:34:05.768334;IP;BP-Linux8;58466;ns1.lan.rt;domain;N/A;N/A;N/A;N/A;N/A
15:34:05.769075;IP;ns1.lan.rt;domain;BP-Linux8;58466;N/A;N/A;N/A;N/A;N/A
15:34:06.669393;IP;192.168.190.130;50245;BP-Linux8;22;P.;1601828178;1851233244;2048;36
15:34:06.669906;IP;BP-Linux8;22;192.168.190.130;50245;P.;1;36;291;36
15:34:06.679262;IP;BP-Linux8;53220;ns1.lan.rt;domain;N/A;N/A;N/A;N/A;N/A
15:34:06.679971;IP;ns1.lan.rt;domain;BP-Linux8;53220;N/A;N/A;N/A;N/A;N/A
15:34:06.681188;IP;BP-Linux8;22;192.168.190.130;50245;P.;37;36;291;116
15:34:06.681222;IP;BP-Linux8;22;192.168.190.130;50245;P.;153;36;291;36
15:34:06.681248;IP;190-0-175-100.gba.solunet.com.ar;2465;184.107.43.74;80;S;326991629;N/A;512;120
15:34:06.681274;IP;190-0-175-100.gba.solunet.com.ar;2466;184.107.43.74;80;S;920517760;N/A;512;120
15:34:06.681294;IP;190-0-175-100.gba.solunet.com.ar;2467;184.107.43.74;80;S;556803824;N/A;512;120
15:34:06.681312;IP;190-0-175-100.gba.solunet.com.ar;2468;184.107.43.74;80;S;1921632185;N/A;512;120
15:34:06.681328;IP;190-0-175-100.gba.solunet.com.ar;2469;184.107.43.74;80;S;1170972654;N/A;512;120
15:34:06.681345;IP;190-0-175-100.gba.solunet.com.ar;2470;184.107.43.74;80;S;754504426;N/A;512;120
15:34:06.681362;IP;190-0-175-100.gba.solunet.com.ar;2471;184.107.43.74;80;S;669863147;N/A;512;120
15:34:06.681379;IP;190-0-175-100.gba.solunet.com.ar;2472;184.107.43.74;80;S;1036593434;N/A;512;120
15:34:06.681396;IP;190-0-175-100.gba.solunet.com.ar;2473;184.107.43.74;80;S;473640609;N/A;512;120
15:34:06.681413;IP;190-0-175-100.gba.solunet.com.ar;2474;184.107.43.74;80;S;294639309;N/A;512;120
15:34:06.681430;IP;190-0-175-100.gba.solunet.com.ar;2475;184.107.43.74;80;S;2003734750;N/A;512;120
15:34:06.681446;IP;190-0-175-100.gba.solunet.com.ar;2476;184.107.43.74;80;S;943277646;N/A;512;120
15:34:06.681463;IP;190-0-175-100.gba.solunet.com.ar;2477;184.107.43.74;80;S;612921749;N/A;512;120
15:34:06.681480;IP;190-0-175-100.gba.solunet.com.ar;2478;184.107.43.74;80;S;1079269685;N/A;512;120
15:34:06.681497;IP;190-0-175-100.gba.solunet.com.ar;2479;184.107.43.74;80;S;1427118982;N/A;512;120
15:34:06.681514;IP;190-0-175-100.gba.solunet.com.ar;2480;184.107.43.74;80;S;1481846896;N/A;512;120
15:34:06.681531;IP;190-0-175-100.gba.solunet.com.ar;2481;184.107.43.74;80;S;807245684;N/A;512;120
15:34:06.681548;IP;190-0-175-100.gba.solunet.com.ar;2482;184.107.43.74;80;S;29032482;N/A;512;120
15:34:06.681564;IP;190-0-175-100.gba.solunet.com.ar;2483;184.107.43.74;80;S;2121432424;N/A;512;120
15:34:06.681581;IP;190-0-175-100.gba.solunet.com.ar;2484;184.107.43.74;80;S;266983944;N/A;512;120
15:34:06.681597;IP;190-0-175-100.gba.solunet.com.ar;2485;184.107.43.74;80;S;780253659;N/A;512;120
15:34:06.681614;IP;190-0-175-100.gba.solunet.com.ar;2486;184.107.43.74;80;S;426927737;N/A;512;120
15:34:06.681630;IP;190-0-175-100.gba.solunet.com.ar;2487;184.107.43.74;80;S;2059846495;N/A;512;120
15:34:06.681647;IP;190-0-175-100.gba.solunet.com.ar;2488;184.107.43.74;80;S;485695892;N/A;512;120
15:34:06.681664;IP;190-0-175-100.gba.solunet.com.ar;2489;184.107.43.74;80;S;1506899314;N/A;512;120
15:34:06.681681;IP;190-0-175-100.gba.solunet.com.ar;2490;184.107.43.74;80;S;1974670292;N/A;512;120
15:34:06.681697;IP;190-0-175-100.gba.solunet.com.ar;2491;184.107.43.74;80;S;984948282;N/A;512;120
15:34:06.681722;IP;190-0-175-100.gba.solunet.com.ar;2492;184.107.43.74;80;S;2071134208;N/A;512;120
15:34:06.681739;IP;190-0-175-100.gba.solunet.com.ar;2493;184.107.43.74;80;S;582048290;N/A;512;120
15:34:06.681756;IP;190-0-175-100.gba.solunet.com.ar;2494;184.107.43.74;80;S;1414722580;N/A;512;120
15:34:06.681773;IP;190-0-175-100.gba.solunet.com.ar;2495;184.107.43.74;80;S;1376167161;N/A;512;120
15:34:06.681789;IP;190-0-175-100.gba.solunet.com.ar;2496;184.107.43.74;80;S;793373662;N/A;512;120
15:34:06.681806;IP;190-0-175-100.gba.solunet.com.ar;2497;184.107.43.74;80;S;586859843;N/A;512;120
15:34:06.681823;IP;190-0-175-100.gba.solunet.com.ar;2498;184.107.43.74;80;S;1313429529;N/A;512;120
15:34:06.681839;IP;190-0-175-100.gba.solunet.com.ar;2499;184.107.43.74;80;S;599747608;N/A;512;120
15:34:06.681856;IP;190-0-175-100.gba.solunet.com.ar;2500;184.107.43.74;80;S;1764270382;N/A;512;120
15:34:06.681872;IP;190-0-175-100.gba.solunet.com.ar;2501;184.107.43.74;80;S;1266534982;N/A;512;120
15:34:06.681889;IP;190-0-175-100.gba.solunet.com.ar;2502;184.107.43.74;80;S;1923888203;N/A;512;120
15:34:06.681906;IP;190-0-175-100.gba.solunet.com.ar;2503;184.107.43.74;80;S;477956184;N/A;512;120
15:34:06.681924;IP;190-0-175-100.gba.solunet.com.ar;2504;184.107.43.74;80;S;1697346829;N/A;512;120
15:34:06.681941;IP;190-0-175-100.gba.solunet.com.ar;2505;184.107.43.74;80;S;1581732153;N/A;512;120
15:34:06.681958;IP;190-0-175-100.gba.solunet.com.ar;2506;184.107.43.74;80;S;2134846905;N/A;512;120
15:34:06.681975;IP;190-0-175-100.gba.solunet.com.ar;2507;184.107.43.74;80;S;5001436;N/A;512;120
15:34:06.681992;IP;190-0-175-100.gba.solunet.com.ar;2508;184.107.43.74;80;S;100084791;N/A;512;120
15:34:06.682008;IP;190-0-175-100.gba.solunet.com.ar;2509;184.107.43.74;80;S;1351883007;N/A;512;120
15:34:06.682025;IP;190-0-175-100.gba.solunet.com.ar;2510;184.107.43.74;80;S;892547770;N/A;512;120
